Year,MAKE,MODEL,VEHICLE_CLASS,ENGINE_SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL_CONSUMPTION,COEMISSIONS 
2000,MAZDA,B4000,PICKUP TRUCK - STANDARD,4,6,M5,X,15.5,320
2000,MAZDA,B4000 4X4,PICKUP TRUCK - STANDARD,4,6,A5,X,17.2,354
2000,MAZDA,B4000 4X4,PICKUP TRUCK - STANDARD,4,6,M5,X,16.5,343
2000,MAZDA,MILLENIA,COMPACT,2.5,6,A4,Z,13.8,276
2000,MAZDA,MILLENIA #,COMPACT,2.3,6,A4,Z,13.7,271
2000,MAZDA,MPV,MINIVAN,2.5,6,A4,X,15.2,313
2000,MAZDA,MX-5 MIATA,SUBCOMPACT,1.8,4,A4,X,11.9,244
2000,MAZDA,MX-5 MIATA,SUBCOMPACT,1.8,4,M5,X,11.1,230
2000,MAZDA,MX-5 MIATA,SUBCOMPACT,1.8,4,M6,X,11.5,239
2000,MAZDA,PROTEGE,COMPACT,1.6,4,A4,X,10.6,221
2000,MAZDA,PROTEGE,COMPACT,1.6,4,M5,X,9.8,207
2000,MAZDA,PROTEGE,COMPACT,1.8,4,A4,X,11.2,230
2000,MAZDA,PROTEGE,COMPACT,1.8,4,M5,X,10.2,212
2000,MERCEDES-BENZ,C 230 KOMPRESSOR #,COMPACT,2.3,4,A5,Z,12.5,251
2000,MERCEDES-BENZ,C 280,COMPACT,2.8,6,A5,Z,12.7,258
2000,MERCEDES-BENZ,C 43 AMG,COMPACT,4.3,8,A5,Z,14.7,304
2000,MERCEDES-BENZ,CLK 320,SUBCOMPACT,3.2,6,A5,Z,12.9,255
2000,MERCEDES-BENZ,CLK 320 CABRIOLET,MINICOMPACT,3.2,6,A5,Z,13.6,269
2000,MERCEDES-BENZ,CLK 430,SUBCOMPACT,4.3,8,A5,Z,14.4,290
2000,MERCEDES-BENZ,CLK 430 CABRIOLET,MINICOMPACT,4.3,8,A5,Z,15.2,304
2000,MERCEDES-BENZ,E 320,MID-SIZE,3.2,6,A5,Z,12.9,253
2000,MERCEDES-BENZ,E 320 4MATIC,MID-SIZE,3.2,6,A5,Z,13.1,262
2000,MERCEDES-BENZ,E 320 4MATIC WAGON,STATION WAGON - MID-SIZE,3.2,6,A5,Z,13.5,274
2000,MERCEDES-BENZ,E 320 WAGON,STATION WAGON - MID-SIZE,3.2,6,A5,Z,13.2,267
2000,MERCEDES-BENZ,E 430,MID-SIZE,4.3,8,A5,Z,14.6,292
2000,MERCEDES-BENZ,E 430 4MATIC,MID-SIZE,4.3,8,A5,Z,15.1,306
2000,MERCEDES-BENZ,E 55 AMG,MID-SIZE,5.5,8,A5,Z,16,317
2000,MERCEDES-BENZ,ML 320,SUV,3.2,6,A5,Z,16.1,336
2000,MERCEDES-BENZ,ML 430,SUV,4.3,8,A5,Z,17,354
2000,MERCEDES-BENZ,S 430,FULL-SIZE,4.3,8,A5,Z,15.3,304
2000,MERCEDES-BENZ,S 500,FULL-SIZE,5,8,A5,Z,16.1,320
2000,MERCEDES-BENZ,SL 500,SUBCOMPACT,5,8,A5,Z,16.3,322
2000,MERCEDES-BENZ,SL 600,SUBCOMPACT,6,12,A5,Z,20.1,393
2000,MERCEDES-BENZ,SLK 230 KOMPRESSOR #,SUBCOMPACT,2.3,4,A5,Z,12,242
2000,MERCEDES-BENZ,SLK 230 KOMPRESSOR #,SUBCOMPACT,2.3,4,M5,Z,12.6,246
2000,NISSAN,ALTIMA,COMPACT,2.4,4,A4,X,12.8,258
2000,NISSAN,ALTIMA,COMPACT,2.4,4,M5,X,11.6,235
2000,NISSAN,FRONTIER,PICKUP TRUCK - STANDARD,2.4,4,A4,X,13.5,283
2000,NISSAN,FRONTIER,PICKUP TRUCK - STANDARD,2.4,4,M5,X,12.1,255
2000,NISSAN,FRONTIER 4X4,PICKUP TRUCK - STANDARD,2.4,4,M5,X,14.9,313
2000,NISSAN,FRONTIER V6,PICKUP TRUCK - STANDARD,3.3,6,A4,X,16.8,350
2000,NISSAN,FRONTIER V6,PICKUP TRUCK - STANDARD,3.3,6,M5,X,16.1,345
2000,NISSAN,FRONTIER V6 4X4,PICKUP TRUCK - STANDARD,3.3,6,A4,X,17.3,361
2000,NISSAN,FRONTIER V6 4X4,PICKUP TRUCK - STANDARD,3.3,6,M5,X,16.2,350
2000,NISSAN,MAXIMA,MID-SIZE,3,6,A4,X,13.4,265
2000,NISSAN,MAXIMA,MID-SIZE,3,6,M5,X,12.3,253
2000,NISSAN,PATHFINDER 4X4,SUV,3.3,6,A4,X,17.3,361
2000,NISSAN,PATHFINDER 4X4,SUV,3.3,6,M5,X,16.5,357
2000,NISSAN,QUEST,MINIVAN,3.3,6,A4,X,15.5,306
2000,NISSAN,XTERRA,SUV,2.4,4,M5,X,14.2,292
2000,NISSAN,XTERRA V6,SUV,3.3,6,A4,X,16.5,343
2000,NISSAN,XTERRA V6,SUV,3.3,6,M5,X,15.9,338
2000,NISSAN,XTERRA V6 4X4,SUV,3.3,6,A4,X,17.3,361
2000,NISSAN,XTERRA V6 4X4,SUV,3.3,6,M5,X,16.2,350
2000,OLDSMOBILE,ALERO,COMPACT,2.4,4,A4,X,12.1,242
2000,OLDSMOBILE,ALERO,COMPACT,2.4,4,M5,X,12.5,244
2000,OLDSMOBILE,ALERO,COMPACT,3.4,6,A4,X,13.6,262
2000,OLDSMOBILE,INTRIGUE,MID-SIZE,3.5,6,A4,X,14.7,283
2000,OLDSMOBILE,SILHOUETTE,MINIVAN,3.4,6,A4,X,14,281
2000,PLYMOUTH,PROWLER,SUBCOMPACT,3.5,6,AS4,Z,15.4,308
2000,PONTIAC,BONNEVILLE,FULL-SIZE,3.8,6,A4,X,14.4,276
2000,PONTIAC,BONNEVILLE #,FULL-SIZE,3.8,6,A4,Z,15.1,290
2000,PONTIAC,FIREBIRD/FORMULA,SUBCOMPACT,3.8,6,A4,X,13.9,269
2000,PONTIAC,FIREBIRD/FORMULA,SUBCOMPACT,3.8,6,M5,X,13.8,265
2000,PONTIAC,FIREBIRD/FORMULA,SUBCOMPACT,5.7,8,A4,Z,14.9,299
2000,PONTIAC,FIREBIRD/FORMULA,SUBCOMPACT,5.7,8,M6,Z,14.9,290
2000,PONTIAC,FIREFLY,SUBCOMPACT,1,3,M5,X,7.1,147
2000,PONTIAC,FIREFLY,SUBCOMPACT,1.3,4,A3,X,9.1,191
2000,PONTIAC,FIREFLY,SUBCOMPACT,1.3,4,M5,X,7.6,156
2000,PONTIAC,GRAND AM,COMPACT,2.4,4,A4,X,12.1,242
2000,PONTIAC,GRAND AM,COMPACT,2.4,4,M5,X,12.5,244
2000,PONTIAC,GRAND AM,COMPACT,3.4,6,A4,X,13.6,262
2000,PONTIAC,GRAND PRIX,MID-SIZE,3.1,6,A4,X,13.1,255
2000,PONTIAC,GRAND PRIX,MID-SIZE,3.8,6,A4,X,13.5,262
2000,PONTIAC,GRAND PRIX #,MID-SIZE,3.8,6,A4,Z,15,288
2000,PONTIAC,MONTANA,MINIVAN,3.4,6,A4,X,14,281
2000,PONTIAC,SUNFIRE,SUBCOMPACT,2.2,4,A3,X,11.8,242
2000,PONTIAC,SUNFIRE,SUBCOMPACT,2.2,4,A4,X,11.6,232
2000,PONTIAC,SUNFIRE,SUBCOMPACT,2.2,4,M5,X,12.2,235
2000,PONTIAC,SUNFIRE,SUBCOMPACT,2.4,4,A4,X,12.5,248
2000,PONTIAC,SUNFIRE,SUBCOMPACT,2.4,4,M5,X,12.1,235
2000,PORSCHE,911 CARRERA,MINICOMPACT,3.4,6,AS5,Z,16,308
2000,PORSCHE,911 CARRERA,MINICOMPACT,3.4,6,M6,Z,15.4,301
2000,PORSCHE,911 CARRERA 4,MINICOMPACT,3.4,6,AS5,Z,16,313
2000,PORSCHE,911 CARRERA 4,MINICOMPACT,3.4,6,M6,Z,15.7,311
2000,PORSCHE,BOXSTER,TWO-SEATER,2.7,6,AS5,Z,15.3,301
2000,PORSCHE,BOXSTER,TWO-SEATER,2.7,6,M5,Z,15,297
2000,PORSCHE,BOXSTER S,TWO-SEATER,3.2,6,AS5,Z,15.9,311
2000,PORSCHE,BOXSTER S,TWO-SEATER,3.2,6,M6,Z,15,294
2000,SAAB,9-3 TURBO,MID-SIZE,2,4,A4,X,13.4,274
2000,SAAB,9-3 TURBO,MID-SIZE,2,4,M5,X,12.9,255
2000,SAAB,9-3 TURBO,MID-SIZE,2.3,4,M5,X,13.1,258
2000,SAAB,9-5 TURBO,FULL-SIZE,2.3,4,A4,X,13.9,276
2000,SAAB,9-5 TURBO,FULL-SIZE,2.3,4,M5,X,13.2,260
2000,SAAB,9-5 TURBO,FULL-SIZE,3,6,A4,X,14.3,283
2000,SAAB,9-5 WAGON TURBO,STATION WAGON - MID-SIZE,2.3,4,A4,X,13.9,276
2000,SAAB,9-5 WAGON TURBO,STATION WAGON - MID-SIZE,2.3,4,M5,X,13.2,260
2000,SAAB,9-5 WAGON TURBO,STATION WAGON - MID-SIZE,3,6,A4,X,14.3,283
2000,SATURN,LS,MID-SIZE,2.2,4,A4,X,11.9,239
2000,SATURN,LS,MID-SIZE,2.2,4,M5,X,12.2,235
2000,SATURN,LS,MID-SIZE,3,6,A4,X,13.3,269
2000,SATURN,LW WAGON,STATION WAGON - MID-SIZE,2.2,4,A4,X,12.1,244
2000,SATURN,LW WAGON,STATION WAGON - MID-SIZE,3,6,A4,X,13.3,269
2000,SATURN,SC,SUBCOMPACT,1.9,4,A4,X,10.1,200
2000,SATURN,SC,SUBCOMPACT,1.9,4,M5,X,9.8,191
2000,SATURN,SC #,SUBCOMPACT,1.9,4,A4,X,10.6,207
2000,SATURN,SC #,SUBCOMPACT,1.9,4,M5,X,10.3,202
2000,SATURN,SL,COMPACT,1.9,4,A4,X,10.1,198
2000,SATURN,SL,COMPACT,1.9,4,M5,X,9.3,184
2000,SATURN,SL #,COMPACT,1.9,4,A4,X,10.6,207
2000,SATURN,SL #,COMPACT,1.9,4,M5,X,10.3,202
2000,SATURN,SW WAGON #,STATION WAGON - SMALL,1.9,4,A4,X,10.6,207
2000,SATURN,SW WAGON #,STATION WAGON - SMALL,1.9,4,M5,X,10.3,202
2000,SUBARU,FORESTER AWD,SUV,2.5,4,A4,X,12.2,246
2000,SUBARU,FORESTER AWD,SUV,2.5,4,M5,X,12.5,248
2000,SUBARU,IMPREZA AWD,SUBCOMPACT,2.2,4,A4,X,11.7,239
2000,SUBARU,IMPREZA AWD,SUBCOMPACT,2.2,4,M5,X,11.8,242
2000,SUBARU,IMPREZA AWD,SUBCOMPACT,2.5,4,A4,X,11.8,244
2000,SUBARU,IMPREZA AWD,SUBCOMPACT,2.5,4,M5,X,12.8,258
2000,SUBARU,IMPREZA WAGON AWD,STATION WAGON - SMALL,2.2,4,A4,X,11.7,239
2000,SUBARU,IMPREZA WAGON AWD,STATION WAGON - SMALL,2.2,4,M5,X,11.8,242
2000,SUBARU,LEGACY AWD,COMPACT,2.5,4,A4,X,12.2,253
2000,SUBARU,LEGACY AWD,COMPACT,2.5,4,M5,X,12.5,253
2000,SUBARU,LEGACY WAGON AWD,STATION WAGON - MID-SIZE,2.5,4,A4,X,12.2,255
2000,SUBARU,LEGACY WAGON AWD,STATION WAGON - MID-SIZE,2.5,4,M5,X,12.5,253
2000,SUZUKI,ESTEEM,SUBCOMPACT,1.6,4,A4,X,9.9,205
2000,SUZUKI,ESTEEM,SUBCOMPACT,1.6,4,M5,X,8.8,182
2000,SUZUKI,ESTEEM WAGON,STATION WAGON - SMALL,1.8,4,A4,X,10.3,209
2000,SUZUKI,ESTEEM WAGON,STATION WAGON - SMALL,1.8,4,M5,X,9.6,196
2000,SUZUKI,GRAND VITARA 4X4,SUV,2.5,6,A4,X,14.2,304
2000,SUZUKI,GRAND VITARA 4X4,SUV,2.5,6,M5,X,13.8,294
2000,SUZUKI,SWIFT,SUBCOMPACT,1.3,4,A3,X,9.1,191
2000,SUZUKI,SWIFT,SUBCOMPACT,1.3,4,M5,X,7.6,156
2000,SUZUKI,VITARA 4X4,SUV,2,4,A4,X,11.7,251
2000,SUZUKI,VITARA 4X4,SUV,2,4,M5,X,11.8,253
2000,SUZUKI,VITARA CONVERTIBLE 4X4,SUV,1.6,4,M5,X,10.5,228
2000,SUZUKI,VITARA CONVERTIBLE 4X4,SUV,2,4,A4,X,11.7,253
2000,SUZUKI,VITARA CONVERTIBLE 4X4,SUV,2,4,M5,X,11.8,255
2000,TOYOTA,4RUNNER 4X4,SUV,2.7,4,A4,X,14.2,301
2000,TOYOTA,4RUNNER 4X4,SUV,2.7,4,M5,X,15.4,320
2000,TOYOTA,4RUNNER 4X4,SUV,3.4,6,A4,X,15.7,334
2000,TOYOTA,4RUNNER 4X4,SUV,3.4,6,M5,X,15.7,331
2000,TOYOTA,AVALON,FULL-SIZE,3,6,A4,X,12.7,251
2000,TOYOTA,CAMRY,MID-SIZE,2.2,4,A4,X,11.8,239
2000,TOYOTA,CAMRY,MID-SIZE,2.2,4,M5,X,11.4,228
2000,TOYOTA,CAMRY,MID-SIZE,3,6,A4,X,13.4,267
2000,TOYOTA,CAMRY SOLARA,COMPACT,2.2,4,A4,X,11.8,239
2000,TOYOTA,CAMRY SOLARA,COMPACT,3,6,A4,X,13.4,267
2000,TOYOTA,CAMRY SOLARA,COMPACT,3,6,M5,X,12.7,253
2000,TOYOTA,CAMRY SOLARA CONVERTIBLE,SUBCOMPACT,3,6,A4,X,14,278
2000,TOYOTA,CELICA,SUBCOMPACT,1.8,4,A4,X,10.1,205
2000,TOYOTA,CELICA,SUBCOMPACT,1.8,4,AS4,Z,11.6,237
2000,TOYOTA,CELICA,SUBCOMPACT,1.8,4,M5,X,10,209
2000,TOYOTA,CELICA,SUBCOMPACT,1.8,4,M6,Z,11.6,230
2000,TOYOTA,COROLLA,COMPACT,1.8,4,A4,X,9.3,189
2000,TOYOTA,COROLLA,COMPACT,1.8,4,M5,X,8.7,179
2000,TOYOTA,ECHO,COMPACT,1.5,4,A4,X,8.6,179
2000,TOYOTA,ECHO,COMPACT,1.5,4,M5,X,8.2,173
2000,TOYOTA,RAV4,SUV,2,4,A4,X,11.3,235
2000,TOYOTA,RAV4,SUV,2,4,M5,X,11.2,232
2000,TOYOTA,RAV4 4X4,SUV,2,4,A4,X,12.2,258
2000,TOYOTA,RAV4 4X4,SUV,2,4,M5,X,12.1,258
2000,TOYOTA,RAV4 SOFT TOP,SUV,2,4,A4,X,11.3,235
2000,TOYOTA,RAV4 SOFT TOP,SUV,2,4,M5,X,11.2,232
2000,TOYOTA,RAV4 SOFT TOP 4X4,SUV,2,4,A4,X,11.8,251
2000,TOYOTA,RAV4 SOFT TOP 4X4,SUV,2,4,M5,X,11.9,253
2000,TOYOTA,SIENNA,MINIVAN,3,6,A4,X,14.3,288
2000,TOYOTA,TACOMA,PICKUP TRUCK - STANDARD,2.4,4,A4,X,12.6,267
2000,TOYOTA,TACOMA,PICKUP TRUCK - STANDARD,2.4,4,M5,X,12.2,253
2000,TOYOTA,TACOMA,PICKUP TRUCK - STANDARD,2.7,4,A4,X,14,301
2000,TOYOTA,TACOMA,PICKUP TRUCK - STANDARD,3.4,6,A4,X,15.3,324
2000,TOYOTA,TACOMA 4X4,PICKUP TRUCK - STANDARD,2.7,4,A4,X,14.2,301
2000,TOYOTA,TACOMA 4X4,PICKUP TRUCK - STANDARD,2.7,4,M5,X,15.7,329
2000,TOYOTA,TACOMA 4X4,PICKUP TRUCK - STANDARD,3.4,6,A4,X,15.2,324
2000,TOYOTA,TACOMA 4X4,PICKUP TRUCK - STANDARD,3.4,6,M5,X,15.7,331
2000,TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,3.4,6,A4,X,15.7,331
2000,TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,3.4,6,M5,X,16,336
2000,TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,4.7,8,A4,X,17.3,363
2000,TOYOTA,TUNDRA 4X4,PICKUP TRUCK - STANDARD,3.4,6,A4,X,17.2,368
2000,TOYOTA,TUNDRA 4X4,PICKUP TRUCK - STANDARD,3.4,6,M5,X,17.1,363
2000,TOYOTA,TUNDRA 4X4,PICKUP TRUCK - STANDARD,4.7,8,A4,X,18.2,382
2000,VOLKSWAGEN,CABRIO,SUBCOMPACT,2,4,A4,X,12.6,253
2000,VOLKSWAGEN,CABRIO,SUBCOMPACT,2,4,M5,X,11.2,230
2000,VOLKSWAGEN,EUROVAN,MINIVAN,2.8,6,A4,X,17.6,357
2000,VOLKSWAGEN,EUROVAN CAMPER,MINIVAN,2.8,6,A4,X,18.6,375
2000,VOLKSWAGEN,GOLF,COMPACT,1.8,4,A4,Z,12.1,248
2000,VOLKSWAGEN,GOLF,COMPACT,1.8,4,M5,Z,11.1,225
2000,VOLKSWAGEN,GOLF,COMPACT,2,4,A4,X,11.9,244
2000,VOLKSWAGEN,GOLF,COMPACT,2,4,M5,X,11.2,228
2000,VOLKSWAGEN,GOLF TDI DIESEL,COMPACT,1.9,4,A4,D,8.1,192
2000,VOLKSWAGEN,GOLF TDI DIESEL,COMPACT,1.9,4,M5,D,6.7,165
2000,VOLKSWAGEN,GTI,COMPACT,1.8,4,M5,Z,11.1,225
2000,VOLKSWAGEN,GTI,COMPACT,2,4,A4,X,11.9,244
2000,VOLKSWAGEN,GTI,COMPACT,2,4,M5,X,11.2,228
2000,VOLKSWAGEN,GTI,COMPACT,2.8,6,M5,X,13.2,260
2000,VOLKSWAGEN,JETTA,COMPACT,1.8,4,A4,Z,12.1,248
2000,VOLKSWAGEN,JETTA,COMPACT,1.8,4,M5,Z,11.1,225
2000,VOLKSWAGEN,JETTA,COMPACT,2,4,A4,X,11.9,244
2000,VOLKSWAGEN,JETTA,COMPACT,2,4,M5,X,11.2,228
2000,VOLKSWAGEN,JETTA,COMPACT,2.8,6,A4,X,14.2,283
2000,VOLKSWAGEN,JETTA,COMPACT,2.8,6,M5,X,13.6,267
2000,VOLKSWAGEN,JETTA TDI DIESEL,COMPACT,1.9,4,A4,D,8.1,192
2000,VOLKSWAGEN,JETTA TDI DIESEL,COMPACT,1.9,4,M5,D,6.7,165
2000,VOLKSWAGEN,NEW BEETLE,SUBCOMPACT,1.8,4,A4,Z,11.9,248
2000,VOLKSWAGEN,NEW BEETLE,SUBCOMPACT,1.8,4,M5,Z,10.6,223
2000,VOLKSWAGEN,NEW BEETLE,SUBCOMPACT,2,4,A4,X,11.9,244
2000,VOLKSWAGEN,NEW BEETLE,SUBCOMPACT,2,4,M5,X,11.2,228
2000,VOLKSWAGEN,NEW BEETLE TDI DIESEL,SUBCOMPACT,1.9,4,A4,D,8.1,192
2000,VOLKSWAGEN,NEW BEETLE TDI DIESEL,SUBCOMPACT,1.9,4,M5,D,6.7,165
2000,VOLKSWAGEN,PASSAT,MID-SIZE,1.8,4,A5,Z,13.2,258
2000,VOLKSWAGEN,PASSAT,MID-SIZE,1.8,4,M5,Z,11.2,225
2000,VOLKSWAGEN,PASSAT,MID-SIZE,2.8,6,A5,Z,14.7,288
2000,VOLKSWAGEN,PASSAT,MID-SIZE,2.8,6,M5,Z,13.4,262
2000,VOLKSWAGEN,PASSAT WAGON,STATION WAGON - MID-SIZE,1.8,4,A5,Z,13.2,258
2000,VOLKSWAGEN,PASSAT WAGON,STATION WAGON - MID-SIZE,1.8,4,M5,Z,11.2,225
2000,VOLKSWAGEN,PASSAT WAGON,STATION WAGON - MID-SIZE,2.8,6,A5,Z,14.7,288
2000,VOLKSWAGEN,PASSAT WAGON,STATION WAGON - MID-SIZE,2.8,6,M5,Z,13.4,262
2000,VOLVO,C70 CONVERTIBLE TURBO,SUBCOMPACT,2.3,5,A4,Z,14.2,285
2000,VOLVO,C70 CONVERTIBLE TURBO,SUBCOMPACT,2.3,5,M5,Z,13.4,269
2000,VOLVO,C70 CONVERTIBLE TURBO,SUBCOMPACT,2.4,5,A4,Z,13.9,278
2000,VOLVO,C70 TURBO,COMPACT,2.3,5,A4,Z,13.9,274
2000,VOLVO,C70 TURBO,COMPACT,2.3,5,M5,Z,13,260
2000,VOLVO,C70 TURBO,COMPACT,2.4,5,A4,Z,13.6,274
2000,VOLVO,S70,MID-SIZE,2.4,5,A5,Z,13.2,262
2000,VOLVO,S70,MID-SIZE,2.4,5,M5,Z,12.6,251
2000,VOLVO,S70 AWD TURBO,MID-SIZE,2.4,5,A4,Z,14.4,288
2000,VOLVO,S70 GLT TURBO,MID-SIZE,2.4,5,A4,Z,13.6,274
2000,VOLVO,S70 T5 TURBO,MID-SIZE,2.3,5,A4,Z,13.9,274
2000,VOLVO,S70 T5 TURBO,MID-SIZE,2.3,5,M5,Z,13,260
2000,VOLVO,S80 2.9,MID-SIZE,2.9,6,A4,Z,14.5,285
2000,VOLVO,S80 T-6,MID-SIZE,2.8,6,AS4,Z,15.1,297
2000,VOLVO,V70,STATION WAGON - MID-SIZE,2.4,5,A5,Z,13.2,262
2000,VOLVO,V70,STATION WAGON - MID-SIZE,2.4,5,M5,Z,12.6,251
